Audio File,Similar Files
000195.mp3,"000195.mp3:0.00,003854.mp3:44.14,003280.mp3:55.19,003368.mp3:58.08,003830.mp3:60.14"
000933.mp3,"000933.mp3:0.00,000968.mp3:47.62,000670.mp3:55.26,000360.mp3:55.43,003956.mp3:59.13"
000677.mp3,"000677.mp3:0.00,000687.mp3:42.09,000686.mp3:42.54,000676.mp3:54.88,000804.mp3:56.50"
000756.mp3,"000756.mp3:0.00,000954.mp3:54.70,000618.mp3:68.80,003401.mp3:69.72,003405.mp3:72.96"
000862.mp3,"000862.mp3:0.00,000855.mp3:8.96,000578.mp3:46.75,000174.mp3:52.98,000795.mp3:59.30"
000820.mp3,"000820.mp3:0.00,000177.mp3:44.12,000816.mp3:64.97,000609.mp3:70.84,000010.mp3:72.26"
000902.mp3,"000902.mp3:0.00,000332.mp3:28.35,000194.mp3:40.58,003732.mp3:43.52,003562.mp3:43.96"
000682.mp3,"000682.mp3:0.00,003944.mp3:33.62,003657.mp3:35.49,003942.mp3:35.90,003948.mp3:36.61"
000198.mp3,"000198.mp3:0.00,000621.mp3:27.15,000201.mp3:32.92,003584.mp3:33.43,000208.mp3:39.85"
000567.mp3,"000567.mp3:0.00,000570.mp3:37.81,000428.mp3:44.11,000470.mp3:49.11,000466.mp3:62.76"
000472.mp3,"000472.mp3:0.00,003522.mp3:38.13,003813.mp3:52.46,003817.mp3:55.93,000185.mp3:57.59"
000366.mp3,"000366.mp3:0.00,003482.mp3:32.94,000370.mp3:35.37,000935.mp3:46.29,000328.mp3:47.11"
000993.mp3,"000993.mp3:0.00,000492.mp3:57.25,003760.mp3:58.12,003654.mp3:59.02,003700.mp3:62.80"
000976.mp3,"000976.mp3:0.00,000817.mp3:55.14,003742.mp3:59.84,000412.mp3:61.01,000661.mp3:61.49"
000184.mp3,"000184.mp3:0.00,000766.mp3:64.73,000443.mp3:64.97,003626.mp3:76.66,003814.mp3:77.48"
000847.mp3,"000847.mp3:0.00,003934.mp3:57.16,000995.mp3:84.24,000452.mp3:89.04,000284.mp3:91.48"
000197.mp3,"000197.mp3:0.00,003286.mp3:32.20,000165.mp3:38.43,000213.mp3:46.89,003450.mp3:51.47"
000622.mp3,"000622.mp3:0.00,000644.mp3:35.38,003708.mp3:37.17,000647.mp3:42.69,003375.mp3:45.32"
000549.mp3,"000549.mp3:0.00,000545.mp3:40.04,000539.mp3:42.59,000335.mp3:51.52,003771.mp3:58.83"
000843.mp3,"000843.mp3:0.00,000844.mp3:20.46,000839.mp3:42.63,000521.mp3:43.08,000398.mp3:51.76"
000793.mp3,"000793.mp3:0.00,000385.mp3:37.70,003668.mp3:38.51,003551.mp3:39.05,003354.mp3:40.22"
000556.mp3,"000556.mp3:0.00,000744.mp3:55.66,000737.mp3:74.18,000786.mp3:83.74,000730.mp3:84.95"
000316.mp3,"000316.mp3:0.00,003483.mp3:41.78,003498.mp3:45.43,003915.mp3:51.63,000659.mp3:55.09"
000747.mp3,"000747.mp3:0.00,003750.mp3:48.11,000861.mp3:59.40,000819.mp3:61.33,003571.mp3:63.47"
000982.mp3,"000982.mp3:0.00,003477.mp3:25.95,003433.mp3:30.55,003719.mp3:34.34,000520.mp3:36.31"
000573.mp3,"000573.mp3:0.00,003974.mp3:54.82,000256.mp3:55.91,003684.mp3:62.58,003554.mp3:62.89"
000957.mp3,"000957.mp3:0.00,003696.mp3:41.17,003872.mp3:43.96,003617.mp3:47.28,003868.mp3:49.68"
000591.mp3,"000591.mp3:0.00,000949.mp3:24.82,003430.mp3:37.86,003464.mp3:40.25,003769.mp3:40.69"
000880.mp3,"000880.mp3:0.00,000196.mp3:79.74,003427.mp3:88.73,003288.mp3:89.20,000814.mp3:89.95"
000294.mp3,"000294.mp3:0.00,000573.mp3:63.09,000256.mp3:64.00,000439.mp3:74.01,000297.mp3:75.01"
000921.mp3,"000921.mp3:0.00,000157.mp3:58.72,003886.mp3:72.03,000908.mp3:73.01,000156.mp3:74.53"
000883.mp3,"000883.mp3:0.00,000397.mp3:92.13,000801.mp3:93.95,003807.mp3:103.25,000154.mp3:113.19"
000318.mp3,"000318.mp3:0.00,000429.mp3:55.22,003455.mp3:58.66,003408.mp3:67.26,003777.mp3:78.14"
000947.mp3,"000947.mp3:0.00,000660.mp3:59.45,003396.mp3:60.85,003733.mp3:67.51,003928.mp3:71.63"
000398.mp3,"000398.mp3:0.00,003499.mp3:30.86,000651.mp3:39.24,003751.mp3:39.86,003927.mp3:43.34"
000842.mp3,"000842.mp3:0.00,003669.mp3:35.35,000426.mp3:38.34,000792.mp3:38.82,000258.mp3:39.11"
000821.mp3,"000821.mp3:0.00,000140.mp3:64.27,003990.mp3:73.82,000313.mp3:78.52,000354.mp3:84.31"
000358.mp3,"000358.mp3:0.00,003474.mp3:30.50,003590.mp3:33.17,003713.mp3:40.20,000367.mp3:46.45"
000917.mp3,"000917.mp3:0.00,000904.mp3:78.62,000309.mp3:88.36,003377.mp3:91.32,003903.mp3:92.62"
000910.mp3,"000910.mp3:0.00,000698.mp3:85.16,000697.mp3:100.06,000837.mp3:103.85,003699.mp3:104.42"
000421.mp3,"000421.mp3:0.00,000903.mp3:34.76,003790.mp3:37.85,000204.mp3:40.14,000966.mp3:40.64"
000827.mp3,"000827.mp3:0.00,000824.mp3:36.49,000635.mp3:46.68,003988.mp3:48.71,000517.mp3:55.15"
